Project,Model,F1-Score,MCC,Precision,Recall,AUC-ROC
logback,Baseline,0.0,0.0,0.0,0.0,0.5
logback,Burak Filter,0.0,0.0,0.0,0.0,0.5
logback,TrAdaBoost,0.0,0.0,0.0,0.0,0.5
logback,Within-Project,0.21428571428571427,0.2516674887508805,0.5,0.13636363636363635,0.5663525498891352
incubator-dubbo,Baseline,0.1111111111111111,0.10388303098376506,0.11764705882352941,0.10526315789473684,0.5491545274870068
incubator-dubbo,Burak Filter,0.1111111111111111,0.10388303098376506,0.11764705882352941,0.10526315789473684,0.5491545274870068
incubator-dubbo,TrAdaBoost,0.0,-0.0030785277298937958,0.0,0.0,0.49948480164863474
incubator-dubbo,Within-Project,0.4444444444444444,0.4840027719597013,0.75,0.3157894736842105,0.6574311299807238
orbit,Baseline,0.0,0.0,0.0,0.0,0.5
orbit,Burak Filter,0.0,0.0,0.0,0.0,0.5
orbit,TrAdaBoost,0.0,0.0,0.0,0.0,0.5
orbit,Within-Project,0.3333333333333333,0.2894879493740779,0.4,0.2857142857142857,0.6238698010849909
handlebars.java,Baseline,0.0,-0.005273803901112409,0.0,0.0,0.49413145539906106
handlebars.java,Burak Filter,0.0,-0.005784019889844162,0.0,0.0,0.49295774647887325
handlebars.java,TrAdaBoost,0.0,-0.005273803901112409,0.0,0.0,0.49413145539906106
handlebars.java,Within-Project,0.0,0.0,0.0,0.0,0.5
http-request,Baseline,0.0,0.0,0.0,0.0,0.5
http-request,Burak Filter,0.0,-0.02768182661791332,0.0,0.0,0.496551724137931
http-request,TrAdaBoost,0.0,0.0,0.0,0.0,0.5
http-request,Within-Project,0.7692307692307693,0.7409116154919599,0.7142857142857143,0.8333333333333334,0.895977011494253
jimfs,Baseline,0.0,0.0,0.0,0.0,0.0
jimfs,Burak Filter,0.0,0.0,0.0,0.0,0.0
jimfs,TrAdaBoost,0.0,0.0,0.0,0.0,0.0
jimfs,Within-Project,0.0,0.0,0.0,0.0,0.0
zxing,Baseline,0.0,-0.01098901098901099,0.0,0.0,0.4897959183673469
zxing,Burak Filter,0.0,-0.004117074412173107,0.0,0.0,0.49854227405247814
zxing,TrAdaBoost,0.0,-0.02054963235752225,0.0,0.0,0.44193548387096776
zxing,Within-Project,0.0,0.0,0.0,0.0,0.5
hector,Baseline,0.0,0.0,0.0,0.0,0.5
hector,Burak Filter,0.0,0.0,0.0,0.0,0.5
hector,TrAdaBoost,0.0,0.0,0.0,0.0,0.5
hector,Within-Project,0.8115942028985508,0.7525205556517331,0.7777777777777778,0.8484848484848485,0.8875451765360023
okhttp,Baseline,0.0,0.0,0.0,0.0,0.5
okhttp,Burak Filter,0.0,0.0,0.0,0.0,0.5
okhttp,TrAdaBoost,0.0,0.0,0.0,0.0,0.5
okhttp,Within-Project,0.3981042654028436,0.30880573813643397,0.3783783783783784,0.42,0.6614084507042254
ninja,Baseline,0.0,-0.003278688524590164,0.0,0.0,0.49836065573770494
ninja,Burak Filter,0.0,0.0,0.0,0.0,0.5
ninja,TrAdaBoost,0.0,0.0,0.0,0.0,0.0
ninja,Within-Project,0.0,0.0,0.0,0.0,0.5
achilles,Baseline,0.0,-0.003733979351049532,0.0,0.0,0.4977151561309977
achilles,Burak Filter,0.0,-0.004034697737765591,0.0,0.0,0.49733434881949734
achilles,TrAdaBoost,0.0,-0.003733979351049532,0.0,0.0,0.4977151561309977
achilles,Within-Project,0.4,0.49942976601861677,1.0,0.25,0.625
elastic-job-lite,Baseline,0.0,0.0,0.0,0.0,0.5
elastic-job-lite,Burak Filter,0.0,0.0,0.0,0.0,0.5
elastic-job-lite,TrAdaBoost,0.0,0.0,0.0,0.0,0.5
elastic-job-lite,Within-Project,0.4,0.405676233343568,0.5,0.3333333333333333,0.6657657657657657
undertow,Baseline,0.10526315789473684,0.06226459426711235,0.08333333333333333,0.14285714285714285,0.5401785714285714
undertow,Burak Filter,0.125,0.08639329005917555,0.1111111111111111,0.14285714285714285,0.5487012987012987
undertow,TrAdaBoost,0.10526315789473684,0.06226459426711235,0.08333333333333333,0.14285714285714285,0.5401785714285714
undertow,Within-Project,0.6153846153846154,0.6032279812463723,0.6666666666666666,0.5714285714285714,0.7800324675324676
activiti,Baseline,0.0,-0.008386872656949517,0.0,0.0,0.4977634194831014
activiti,Burak Filter,0.02631578947368421,0.008449418129487454,0.022727272727272728,0.03125,0.5049391153081512
activiti,TrAdaBoost,0.016260162601626018,-0.010114298431265234,0.010752688172043012,0.03333333333333333,0.49125230202578274
activiti,Within-Project,0.13636363636363635,0.14506923046043718,0.25,0.09375,0.5446384194831014
ambari,Baseline,0.5,0.39465729740468974,0.3977272727272727,0.6730769230769231,0.7391119909502263
ambari,Burak Filter,0.5379310344827586,0.44746700241837245,0.41935483870967744,0.75,0.7757352941176471
ambari,TrAdaBoost,0.4383561643835616,0.4070582943227064,0.6956521739130435,0.32,0.6455371900826447
ambari,Within-Project,0.9142857142857143,0.8977709064086785,0.9056603773584906,0.9230769230769231,0.9523472850678733
hbase,Baseline,0.04054054054054054,0.11758116484153174,1.0,0.020689655172413793,0.5103448275862069
hbase,Burak Filter,0.027210884353741496,0.09589266029707683,1.0,0.013793103448275862,0.506896551724138
hbase,TrAdaBoost,0.128,0.16254626834836827,0.7272727272727273,0.07017543859649122,0.5296132667435011
hbase,Within-Project,0.9003215434083601,0.8491874299275527,0.8433734939759037,0.9655172413793104,0.9373040752351097
httpcore,Baseline,0.0,-0.013421472376017278,0.0,0.0,0.4971014492753623
httpcore,Burak Filter,0.0,-0.011615136148474243,0.0,0.0,0.49782608695652175
httpcore,TrAdaBoost,0.0,-0.013421472376017278,0.0,0.0,0.4971014492753623
httpcore,Within-Project,0.509090909090909,0.5011159444836039,0.42424242424242425,0.6363636363636364,0.8044137022397891
assertj-core,Baseline,0.0,-0.00022593075595252852,0.0,0.0,0.4998402555910543
assertj-core,Burak Filter,0.0,-0.000276729642063495,0.0,0.0,0.49976038338658146
assertj-core,TrAdaBoost,0.0,-0.00022593075595252852,0.0,0.0,0.4998402555910543
assertj-core,Within-Project,0.0,0.0,0.0,0.0,0.5
java-websocket,Baseline,0.0,0.0,0.0,0.0,0.5
java-websocket,Burak Filter,0.0,0.0,0.0,0.0,0.5
java-websocket,TrAdaBoost,0.0,0.0,0.0,0.0,0.5
java-websocket,Within-Project,0.8085106382978723,0.7717423937456281,0.7916666666666666,0.8260869565217391,0.8925516749821811
wildfly,Baseline,0.0,-0.01720541010868213,0.0,0.0,0.4921681780708986
wildfly,Burak Filter,0.045454545454545456,0.028222980222420854,0.047619047619047616,0.043478260869565216,0.5134951073515179
wildfly,TrAdaBoost,0.0,-0.009908105908324073,0.0,0.0,0.4968065693430657
wildfly,Within-Project,0.6153846153846154,0.6198037335874664,0.75,0.5217391304347826,0.7592207606007384
spring-boot,Baseline,0.010101010101010102,-0.023370119334590236,0.02857142857142857,0.006134969325153374,0.49441168018192494
spring-boot,Burak Filter,0.0,-0.03266595016621828,0.0,0.0,0.4931262729124236
spring-boot,TrAdaBoost,0.0,-0.029411963479014824,0.0,0.0,0.4948717948717949
spring-boot,Within-Project,0.9038461538461539,0.8973046257572845,0.9463087248322147,0.8650306748466258,0.9304786775455125
wro4j,Baseline,0.039603960396039604,0.02305226432870459,0.023529411764705882,0.125,0.5257418069087688
wro4j,Burak Filter,0.015267175572519083,-0.0150248557026584,0.008695652173913044,0.0625,0.48076284322409213
wro4j,TrAdaBoost,0.0,-0.009296350039868354,0.0,0.0,0.4970472440944882
wro4j,Within-Project,0.3157894736842105,0.43054103949567635,1.0,0.1875,0.59375
alluxio,Baseline,0.4429530201342282,0.36215692105492103,1.0,0.28448275862068967,0.6422413793103449
alluxio,Burak Filter,0.7916666666666666,0.6473594416245535,1.0,0.6551724137931034,0.8275862068965517
alluxio,TrAdaBoost,0.36220472440944884,0.31378161850176794,1.0,0.22115384615384615,0.6105769230769231
alluxio,Within-Project,1.0,1.0,1.0,1.0,1.0
commons-exec,Baseline,0.0,0.0,0.0,0.0,0.5
