Project_ID,Project,Algorithm,Test_Samples,Flaky_Samples,MCC,Macro_F1,F1-Score,Precision,Recall,AUC-PR
E00,activiti,Random Forest,2044,32,-0.007905277281555673,0.4950592885375494,0.0,0.0,0.0,0.03233512882877556
E00,activiti,Extra Trees,2044,32,-0.005584392214126855,0.49555774925962487,0.0,0.0,0.0,0.025334817693831495
E00,activiti,Gradient Boosting,2044,32,0.04302902463802171,0.15292291471415181,0.035227272727272725,0.017939814814814815,0.96875,0.03372890442794015
E00,activiti,Logistic Regression,2044,32,0.022904149694116267,0.09155490046624636,0.032443746729461015,0.016498137307078234,0.96875,0.06637764019720054
E00,activiti,Naive Bayes,2044,32,0.03893847374145346,0.17244213964260532,0.03519061583577713,0.017931858936043037,0.9375,0.020461231663379265
E00,activiti,KNN,2044,32,0.028728718319788925,0.3602195844268413,0.03751233958538993,0.019367991845056064,0.59375,0.017592000074971827
E01,alluxio,Random Forest,187,116,0.05736456539533723,0.2848115999866973,0.017094017094017096,1.0,0.008620689655172414,0.9968751954123884
E01,alluxio,Extra Trees,187,116,0.14244149313813853,0.3309263596148842,0.09836065573770492,1.0,0.05172413793103448,0.9986640193442489
E01,alluxio,Gradient Boosting,187,116,0.3473635044203292,0.5537781705700398,0.4774193548387097,0.9487179487179487,0.31896551724137934,0.9479262853972386
E01,alluxio,Logistic Regression,187,116,-0.14317225997192043,0.31875095668146336,0.14388489208633093,0.43478260869565216,0.08620689655172414,0.5664104262435701
E01,alluxio,Naive Bayes,187,116,0.6212701325187945,0.794671752196024,0.8155339805825242,0.9333333333333333,0.7241379310344828,0.9651929353288603
E01,alluxio,KNN,187,116,0.18068757793869583,0.3868852459016393,0.2,0.9285714285714286,0.11206896551724138,0.7745181289298936
E02,ambari,Random Forest,324,52,0.4038306900660895,0.6970641401234183,0.5081967213114754,0.44285714285714284,0.5961538461538461,0.5128633605778598
E02,ambari,Extra Trees,324,52,0.3579277493512568,0.6571586308428414,0.39473684210526316,0.625,0.28846153846153844,0.5699709782908478
E02,ambari,Gradient Boosting,324,52,0.43141635195221545,0.6279809220985691,0.49019607843137253,0.32894736842105265,0.9615384615384616,0.44943345148447555
E02,ambari,Logistic Regression,324,52,0.06005916431857797,0.1621232743534902,0.2810810810810811,0.16352201257861634,1.0,0.3059862105971241
E02,ambari,Naive Bayes,324,52,0.16826923076923078,0.3148148148148148,0.3148148148148148,0.1875,0.9807692307692307,0.3349448312793267
E02,ambari,KNN,324,52,0.25797438593257327,0.6200021324234992,0.3373493975903614,0.45161290322580644,0.2692307692307692,0.371001963133167
E03,commons-exec,Random Forest,55,1,0.0,0.4954128440366973,0.0,0.0,0.0,0.25
E03,commons-exec,Extra Trees,55,1,0.0,0.4954128440366973,0.0,0.0,0.0,0.5
E03,commons-exec,Gradient Boosting,55,1,0.3298428357510533,0.5764576457645765,0.2222222222222222,0.125,1.0,0.5
