Task,Algorithm,Feature,Mean_Importance,Std_Importance,Overall_Mean_Importance,Overall_Std_Importance
Classification,Gradient Boosting,ExecutionTime,0.36404931025081816,0.02825791442747709,0.19586123879415374,0.09336959811988776
Regression,Gradient Boosting Regressor,ExecutionTime,0.22662521755055945,0.02983295429765274,0.19586123879415374,0.09336959811988776
Regression,Random Forest Regressor,ExecutionTime,0.20224624050330373,0.014476056049123848,0.19586123879415374,0.09336959811988776
Classification,Random Forest,ExecutionTime,0.19075704404987012,0.010772672061307423,0.19586123879415374,0.09336959811988776
Regression,Extra Trees Regressor,ExecutionTime,0.11298321105847388,0.0066503170357828795,0.19586123879415374,0.09336959811988776
Classification,Extra Trees,ExecutionTime,0.07850640935189704,0.0056013652591760665,0.19586123879415374,0.09336959811988776
Regression,Gradient Boosting Regressor,projectSourceClassesCovered,0.19934303721249438,0.028395478833418756,0.13762389146504944,0.042505012428006896
Regression,Extra Trees Regressor,projectSourceClassesCovered,0.18286210848451767,0.009489842364221582,0.13762389146504944,0.042505012428006896
Regression,Random Forest Regressor,projectSourceClassesCovered,0.12633077548559535,0.0168134866148114,0.13762389146504944,0.042505012428006896
Classification,Random Forest,projectSourceClassesCovered,0.11771512360887003,0.005720107216569012,0.13762389146504944,0.042505012428006896
Classification,Gradient Boosting,projectSourceClassesCovered,0.10410030267653435,0.017573779089896612,0.13762389146504944,0.042505012428006896
Classification,Extra Trees,projectSourceClassesCovered,0.09539200132228483,0.004627309489455854,0.13762389146504944,0.042505012428006896
Classification,Random Forest,projectSourceLinesCovered,0.11576880790331616,0.0078123850743076085,0.08618493335474676,0.020589028733285976
Regression,Extra Trees Regressor,projectSourceLinesCovered,0.09750542123746488,0.004484039914651618,0.08618493335474676,0.020589028733285976
Classification,Gradient Boosting,projectSourceLinesCovered,0.0874662046140789,0.019350605270188875,0.08618493335474676,0.020589028733285976
Regression,Random Forest Regressor,projectSourceLinesCovered,0.08417027067434683,0.00602988676893632,0.08618493335474676,0.020589028733285976
Classification,Extra Trees,projectSourceLinesCovered,0.07306147717805826,0.004327994299853239,0.08618493335474676,0.020589028733285976
Regression,Gradient Boosting Regressor,projectSourceLinesCovered,0.05913741852121553,0.011353647863394854,0.08618493335474676,0.020589028733285976
Regression,Extra Trees Regressor,numCoveredLines,0.1329500507436028,0.00614709101358734,0.07907269076159865,0.03244353471905213
Regression,Random Forest Regressor,numCoveredLines,0.10383097048437524,0.010036319057050214,0.07907269076159865,0.03244353471905213
Classification,Random Forest,numCoveredLines,0.07606720910807062,0.0027486712258760642,0.07907269076159865,0.03244353471905213
Classification,Extra Trees,numCoveredLines,0.06416760930298103,0.002772920695571624,0.07907269076159865,0.03244353471905213
Regression,Gradient Boosting Regressor,numCoveredLines,0.05498758198375576,0.019549937376350496,0.07907269076159865,0.03244353471905213
Classification,Gradient Boosting,numCoveredLines,0.042432722946806424,0.009609586924838038,0.07907269076159865,0.03244353471905213
Regression,Random Forest Regressor,testLength,0.13407467130673736,0.008340502546548214,0.07830945336628257,0.03341992536295549
Regression,Extra Trees Regressor,testLength,0.09632595132889626,0.003666718778685211,0.07830945336628257,0.03341992536295549
Regression,Gradient Boosting Regressor,testLength,0.0831572205528948,0.023547055440796227,0.07830945336628257,0.03341992536295549
Classification,Random Forest,testLength,0.06699405749484713,0.003980623207654593,0.07830945336628257,0.03341992536295549
Classification,Extra Trees,testLength,0.05046601254482224,0.0027978171448235383,0.07830945336628257,0.03341992536295549
Classification,Gradient Boosting,testLength,0.03883880696949765,0.010323366983487497,0.07830945336628257,0.03341992536295549
Regression,Gradient Boosting Regressor,hIndexModificationsPerCoveredLine_window75,0.15449824330935433,0.02912180365849921,0.062119707637031785,0.04579853703530637
Regression,Random Forest Regressor,hIndexModificationsPerCoveredLine_window75,0.05513764518530994,0.010578270693811625,0.062119707637031785,0.04579853703530637
Classification,Gradient Boosting,hIndexModificationsPerCoveredLine_window75,0.04930076544894563,0.025240110377663022,0.062119707637031785,0.04579853703530637
